id;icon;path;name;description;hit_and_sort;status;created;modified
1;Table;projection Versatile;Integration;bypassing SCSI applications;3735;INVALID;2020-11-27T19:37:10;2020-11-27T19:27:18
2;Berkshire Chips Nevada;synthesize Steel;transmitting;Nevada;16907;ACTIVATED;2020-11-28T02:55:56;2020-11-28T09:46:56
3;Program Identity;fresh-thinking Designer;array;Chicken violet;55728;INVALID;2020-11-28T00:49:06;2020-11-28T03:46:23
4;visionary;Cheese Front-line;plug-and-play;Versatile real-time Rustic;57740;INVALID;2020-11-27T17:28:56;2020-11-28T08:22:51
5;Home Loan Account revolutionize Tonga;withdrawal fresh-thinking;Open-source Avon invoice;United States of America invoice;28820;INVALID;2020-11-28T12:57:24;2020-11-28T11:00:59
6;Island feed driver;leading-edge Fresh;tertiary;pixel sky blue;51152;INVALID;2020-11-28T12:56:10;2020-11-27T16:40:09
7;Shirt uniform;Sleek Egypt;XML SQL Armenian Dram;impactful Agent;22978;INVALID;2020-11-28T06:22:14;2020-11-28T00:43:28
8;transmit Unbranded Granite Bacon;help-desk;Principal;Plaza;32414;ACTIVATED;2020-11-27T19:47:22;2020-11-28T12:01:12
9;Division Consultant Human;protocol Barbados Dollar;Tactics;Intranet digital teal;97861;VALID;2020-11-27T18:15:46;2020-11-27T21:02:28
10;Personal Loan Account Metal circuit;black;interface;Incredible Metal Cheese;13175;ACTIVATED;2020-11-27T17:52:08;2020-11-28T11:06:13
